SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
A. Bredgaard,OB U15,"OB U15 - Sønderjyske U15, 4 - 1",7,5,4,71.43,57.14
A. Christesen,AaB U15,"Farum Boldklub U15 - AaB U15, 1 - 3",6,5,2,83.33,33.33
A. Dirksen,SønderjyskE U15,"OB U15 - Sønderjyske U15, 4 - 1",3,1,0,33.33,0.0
A. Dirksen,SønderjyskE U15,"Sønderjyske U15 - Vejle U15, 2 - 1",10,8,1,80.0,10.0
A. Gottschalck Krogsgård,OB U15,"OB U15 - Sønderjyske U15, 4 - 1",9,7,6,77.78,66.67
A. Hangaard Jul,Silkeborg IF U15,"Randers U15 - Silkeborg IF U15, 4 - 2",1,1,0,100.0,0.0
A. Holck Vibe,AGF U15,"AGF U15 - Horsens U15, 1 - 4",3,3,2,100.0,66.67
A. Kondrup Kristensen,Randers U15,"Randers U15 - Lyngby U15, 1 - 1 (E)",1,0,0,0.0,0.0
A. Kristjansen,Horsens U15,"AGF U15 - Horsens U15, 1 - 4",2,1,1,50.0,50.0
A. Krogh,Lyngby U15,"Randers U15 - Lyngby U15, 1 - 1 (E)",3,1,0,33.33,0.0
A. Larsen,Midtjylland U15,"Midtjylland U15 - Farum Boldklub U15, 1 - 0",5,4,0,80.0,0.0
A. Mfuta,Silkeborg IF U15,"Randers U15 - Silkeborg IF U15, 4 - 2",2,1,0,50.0,0.0
A. Mfuta,Silkeborg IF U15,"Silkeborg IF U15 - Brøndby IF U15, 1 - 4",7,5,3,71.43,42.86
A. Nielsen,AaB U15,"Farum Boldklub U15 - AaB U15, 1 - 3",3,2,1,66.67,33.33
A. Nielsen,Brøndby IF U15,"Silkeborg IF U15 - Brøndby IF U15, 1 - 4",2,1,0,50.0,0.0
A. Nørkjær Werner,FC Nordsjælland U15,"Farum Boldklub U15 - AaB U15, 1 - 3",2,2,0,100.0,0.0
A. Nørkjær Werner,FC Nordsjælland U15,"Midtjylland U15 - Farum Boldklub U15, 1 - 0",1,1,1,100.0,100.0
A. Rudolf,Vejle U15,"Sønderjyske U15 - Vejle U15, 2 - 1",5,2,0,40.0,0.0
A. Rudolf,Vejle U15,"Vejle U15 - København U15, 1 - 6",1,1,0,100.0,0.0
A. Schrader Pedersen,SønderjyskE U15,"OB U15 - Sønderjyske U15, 4 - 1",6,4,2,66.67,33.33
A. Schrader Pedersen,SønderjyskE U15,"Sønderjyske U15 - Vejle U15, 2 - 1",7,2,0,28.57,0.0
A. Stigaard,Randers U15,"Randers U15 - Lyngby U15, 1 - 1 (E)",10,6,0,60.0,0.0
A. Stigaard,Randers U15,"Randers U15 - Silkeborg IF U15, 4 - 2",4,1,1,25.0,25.0
A. Tejlgaard,Horsens U15,"AGF U15 - Horsens U15, 1 - 4",7,2,2,28.57,28.57
A. Tidemann,OB U15,"OB U15 - Sønderjyske U15, 4 - 1",2,2,1,100.0,50.0
A. Ziegler,AGF U15,"AGF U15 - Horsens U15, 1 - 4",8,4,1,50.0,12.5
B. Al-khodor,SønderjyskE U15,"Sønderjyske U15 - Vejle U15, 2 - 1",6,3,2,50.0,33.33
B. Ivan Pabst,Horsens U15,"AGF U15 - Horsens U15, 1 - 4",5,2,0,40.0,0.0
B. Lodberg,Horsens U15,"AGF U15 - Horsens U15, 1 - 4",6,3,0,50.0,0.0
B. Mucondo,Brøndby IF U15,"Silkeborg IF U15 - Brøndby IF U15, 1 - 4",5,4,0,80.0,0.0
B. Sachs,København U15,"Vejle U15 - København U15, 1 - 6",4,3,1,75.0,25.0
B. Vestergaard,FC Nordsjælland U15,"Farum Boldklub U15 - AaB U15, 1 - 3",8,4,4,50.0,50.0
