SEASON_WYID_x,COMPETITION_WYID,EVENT_WYID,MATCH_WYID,MATCHPERIOD,MINUTE,SECOND,PRIMARYTYPE,LOCATIONX,LOCATIONY,TEAM_WYID,PLAYER_WYID,POSSESSION_WYID,POSSESSIONDURATION,POSSESSIONEVENTSNUMBER,POSSESSIONEVENTINDEX,POSSESSIONSTARTLOCATIONX,POSSESSIONSTARTLOCATIONY,POSSESSIONENDLOCATIONX,POSSESSIONENDLOCATIONY,POSSESSIONTEAM_WYID,COMPETITIONNAME,MATCHLABEL,DATE,SEASON_WYID_y,SHORTNAME,SHOTISGOAL,SHOTPOSTSHOTXG,SHOTXG,GROUNDDUELOPPONENT_WYID,GROUNDDUELDUELTYPE,KEPTPOSSESSION,PROGRESSEDWITHBALL,STOPPEDPROGRESS,RECOVEREDPOSSESSION,TAKEON,GROUNDDUELSIDE,GROUNDDUELRELATEDDUEL_WYID,CARRYPROGRESSION,CARRYENDLOCATIONX,CARRYENDLOCATIONY,ACCURATE,ANGLE,HEIGHT,LENGTH,RECIPIENT_WYID,ENDLOCATIONX,ENDLOCATIONY,POSSESSIONTYPE1,POSSESSIONTYPE2,POSSESSIONTYPE3,POSSESSIONTYPE4,POSSESSIONTYPE5,ATTACKXG,SECONDARYTYPE1,SECONDARYTYPE2,SECONDARYTYPE3,SECONDARYTYPE4,SECONDARYTYPE5,SECONDARYTYPE6,SECONDARYTYPE7,SECONDARYTYPE8,SECONDARYTYPE9,SECONDARYTYPE10,TEAMNAME
191807,3134,2651146574,5745103,1H,2,3,shot,81.0,49.0,38327,864203,2651146551.0,27.2271755,14.0,13.0,6.0,21.0,81.0,49.0,38327.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,P. Keller,False,,0.1307,,,,,,,,,,,,,,,,,,,,attack,,,,,0.1307,opportunity,,,,,,,,,,Viborg U19
191807,3134,2651146592,5745103,1H,9,18,shot,90.0,47.0,64974,905561,2651146585.0,1.7901145,4.0,3.0,78.0,17.0,90.0,47.0,64974.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,J. Feddersen,False,2.082e-05,0.1152,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,free_kick_cross,,0.1152,head_shot,opportunity,shot_after_free_kick,touch_in_box,,,,,,,Kolding IF U19
191807,3134,2651146756,5745103,1H,11,14,shot,95.0,50.0,38327,1084336,2651146730.0,35.1397875,16.0,15.0,22.0,100.0,95.0,50.0,38327.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,M. Olsen,False,,0.2668,,,,,,,,,,,,,,,,,,,,attack,throw_in,,,,0.2668,opportunity,touch_in_box,,,,,,,,,Viborg U19
191807,3134,2651146884,5745103,1H,32,20,shot,73.0,61.0,64974,814544,2651146882.0,1.5255145,2.0,1.0,65.0,63.0,73.0,61.0,64974.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,G. Laugesen,False,0.07379,0.06906,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,,,0.0691,opportunity,,,,,,,,,,Kolding IF U19
191807,3134,2651147255,5745103,1H,35,17,shot,80.0,73.0,38327,826058,2651147245.0,12.0953235,10.0,9.0,84.0,100.0,80.0,73.0,38327.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,N. Pedersen,False,,0.001173,,,,,,,,,,,,,,,,,,,,attack,throw_in,,,,0.0012,shot_after_throw_in,,,,,,,,,,Viborg U19
191807,3134,2651147427,5745103,1H,44,18,shot,92.0,64.0,38327,684216,2651147410.0,13.3049955,11.0,10.0,41.0,25.0,92.0,64.0,38327.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,M. Løndal,True,0.4523,0.1935,,,,,,,,,,,,,,,,,,,,attack,,,,,0.1935,goal,opportunity,touch_in_box,,,,,,,,Viborg U19
191807,3134,2651147549,5745103,2H,48,37,shot,83.0,66.0,38327,786374,2651147533.0,6.796194,7.0,6.0,62.0,95.0,83.0,66.0,38327.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,F. Damkjer,False,,0.04136,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0414,,,,,,,,,,,Viborg U19
191807,3134,2651147189,5745103,2H,53,18,shot,82.0,43.0,64974,1023343,2651147182.0,15.356156,7.0,6.0,42.0,54.0,82.0,43.0,64974.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,F. Klysner Baltsersen,False,,0.0213,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0213,,,,,,,,,,,Kolding IF U19
191807,3134,2651147668,5745103,2H,54,50,shot,96.0,66.0,38327,932132,2651147659.0,16.7166555,10.0,9.0,10.0,59.0,96.0,66.0,38327.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,A. Kleis-Kristoffersen,False,0.1804,0.1316,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,,,0.1316,opportunity,touch_in_box,,,,,,,,,Viborg U19
191807,3134,2651147352,5745103,2H,66,49,shot,87.0,51.0,64974,905561,2651147341.0,12.8491505,10.0,9.0,100.0,100.0,87.0,51.0,64974.0,U19 Division,"Kolding IF U19 - Viborg U19, 0 - 3",2025-08-23 12:00:00,191807,J. Feddersen,False,0.253,0.1302,,,,,,,,,,,,,,,,,,,,corner,set_piece_attack,attack,,,0.1302,opportunity,shot_after_corner,touch_in_box,,,,,,,,Kolding IF U19
