SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
A. Bruun-Larsen,Helsingør U19,"Helsingør U19 - Hvidovre U19, 3 - 1",3,2,1,66.67,33.33
A. Bundgaard,Hvidovre U19,"Helsingør U19 - Hvidovre U19, 3 - 1",3,3,1,100.0,33.33
A. Choukri,HB Køge U19,"HB Køge U19 - Næstved U19, 2 - 1",8,4,2,50.0,25.0
A. Dudek,HIK U19,"Viborg U19 - HIK U19, 7 - 1",3,3,1,100.0,33.33
A. Frederiksen,Hobro IK U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",8,6,0,75.0,0.0
A. Gärtig,Nykøbing U19,"Nykøbing U19 - Roskilde U19, 1 - 2",2,0,0,0.0,0.0
A. Gärtig,Nykøbing U19,"Næstved U19 - Nykøbing U19, 0 - 1",9,7,4,77.78,44.44
A. Halling,HB Køge U19,"HB Køge U19 - Næstved U19, 2 - 1",2,1,0,50.0,0.0
A. Hansson,B 93 U19,"Roskilde U19 - B 93 U19, 4 - 3",6,6,3,100.0,50.0
A. Hassan,HIK U19,"Viborg U19 - HIK U19, 7 - 1",7,5,1,71.43,14.29
A. Holm Ludvigsen,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",5,3,1,60.0,20.0
A. Jamal,Hvidovre U19,"Helsingør U19 - Hvidovre U19, 3 - 1",1,1,0,100.0,0.0
A. Kjærgaard,Kolding IF U19,"Kolding IF U19 - Viborg U19, 0 - 3",7,5,3,71.43,42.86
A. Kronquist Maimann,Hvidovre U19,"Helsingør U19 - Hvidovre U19, 3 - 1",2,0,0,0.0,0.0
A. Lamp,HIK U19,"Viborg U19 - HIK U19, 7 - 1",8,4,2,50.0,25.0
A. Lazarotti,HB Køge U19,"HB Køge U19 - Næstved U19, 2 - 1",2,1,1,50.0,50.0
A. Loki,HB Køge U19,"HB Køge U19 - Næstved U19, 2 - 1",2,0,0,0.0,0.0
A. Lund,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",3,2,0,66.67,0.0
A. Lund,Roskilde U19,"Roskilde U19 - B 93 U19, 4 - 3",1,1,0,100.0,0.0
A. Lønborg,HIK U19,"Viborg U19 - HIK U19, 7 - 1",11,8,4,72.73,36.36
A. Madsbøl,Viborg U19,"Kolding IF U19 - Viborg U19, 0 - 3",1,1,1,100.0,100.0
A. Madsbøl,Viborg U19,"Viborg U19 - HIK U19, 7 - 1",5,3,0,60.0,0.0
A. Molin,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",1,0,0,0.0,0.0
A. Molin,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",6,2,0,33.33,0.0
A. Rafn Geelmuyden,HIK U19,"Viborg U19 - HIK U19, 7 - 1",2,1,0,50.0,0.0
A. Rasmussen,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",1,1,1,100.0,100.0
A. Riiser,Hobro IK U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",9,3,1,33.33,11.11
A. Søndergaard,Viborg U19,"Kolding IF U19 - Viborg U19, 0 - 3",2,2,2,100.0,100.0
A. Søndergaard,Viborg U19,"Viborg U19 - HIK U19, 7 - 1",2,1,1,50.0,50.0
A. Toft,Viborg U19,"Viborg U19 - HIK U19, 7 - 1",2,2,0,100.0,0.0
B. Noah,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",4,2,0,50.0,0.0
B. Westh,B 93 U19,"Roskilde U19 - B 93 U19, 4 - 3",2,1,1,50.0,50.0
C. Christensen,Viborg U19,"Viborg U19 - HIK U19, 7 - 1",2,0,0,0.0,0.0
C. Dhurbourgh,Helsingør U19,"Helsingør U19 - Hvidovre U19, 3 - 1",3,3,1,100.0,33.33
C. Risbjerg,B 93 U19,"Roskilde U19 - B 93 U19, 4 - 3",3,2,0,66.67,0.0
C. Ørum Hansen,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",2,2,0,100.0,0.0
C. Ørum Hansen,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",4,4,2,100.0,50.0
D. Faljic,B 93 U19,"Roskilde U19 - B 93 U19, 4 - 3",3,1,1,33.33,33.33
D. Hernández,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",2,0,0,0.0,0.0
D. Hernández,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",6,5,2,83.33,33.33
D. Irenge Bitute,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",2,1,1,50.0,50.0
D. Tasci,B 93 U19,"Roskilde U19 - B 93 U19, 4 - 3",3,1,1,33.33,33.33
D. Wurst,Helsingør U19,"Helsingør U19 - Hvidovre U19, 3 - 1",7,3,2,42.86,28.57
E. Birks,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",5,1,0,20.0,0.0
E. Ciltik,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",8,3,1,37.5,12.5
E. Ciltik,Roskilde U19,"Roskilde U19 - B 93 U19, 4 - 3",9,6,3,66.67,33.33
E. Fevre,Kolding IF U19,"Kolding IF U19 - Viborg U19, 0 - 3",10,8,2,80.0,20.0
E. Monrad,Viborg U19,"Kolding IF U19 - Viborg U19, 0 - 3",5,3,1,60.0,20.0
E. Monrad,Viborg U19,"Viborg U19 - HIK U19, 7 - 1",3,1,0,33.33,0.0
E. Rørsted Christensen,Helsingør U19,"Helsingør U19 - Hvidovre U19, 3 - 1",5,5,4,100.0,80.0
E. Stig,HB Køge U19,"HB Køge U19 - Næstved U19, 2 - 1",6,4,2,66.67,33.33
E. Toy,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",10,6,4,60.0,40.0
E. Toy,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",2,2,0,100.0,0.0
F. Hansen,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",1,1,0,100.0,0.0
F. Hansen,Roskilde U19,"Roskilde U19 - B 93 U19, 4 - 3",2,2,1,100.0,50.0
F. Howald,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",6,2,2,33.33,33.33
F. Howald,Roskilde U19,"Roskilde U19 - B 93 U19, 4 - 3",6,3,0,50.0,0.0
F. Klysner Baltsersen,Kolding IF U19,"Kolding IF U19 - Viborg U19, 0 - 3",2,2,1,100.0,50.0
F. Konstmann,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",9,6,1,66.67,11.11
F. Lossin,Viborg U19,"Kolding IF U19 - Viborg U19, 0 - 3",4,2,0,50.0,0.0
F. Sembach,Nykøbing U19,"Nykøbing U19 - Roskilde U19, 1 - 2",1,0,0,0.0,0.0
F. Sembach,Nykøbing U19,"Næstved U19 - Nykøbing U19, 0 - 1",4,3,0,75.0,0.0
F. Simonsen,Helsingør U19,"Helsingør U19 - Hvidovre U19, 3 - 1",5,3,1,60.0,20.0
F. Spangsberg,Viborg U19,"Viborg U19 - HIK U19, 7 - 1",2,1,1,50.0,50.0
F. Vinther Palle,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",1,1,0,100.0,0.0
G. Haastrup,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",3,3,0,100.0,0.0
G. Johansen,Helsingør U19,"Helsingør U19 - Hvidovre U19, 3 - 1",3,2,0,66.67,0.0
G. Laugesen,Kolding IF U19,"Kolding IF U19 - Viborg U19, 0 - 3",9,7,3,77.78,33.33
G. Wietz,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",1,1,1,100.0,100.0
G. Wietz,Roskilde U19,"Roskilde U19 - B 93 U19, 4 - 3",1,1,1,100.0,100.0
H. Dahl,Hobro IK U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",5,4,1,80.0,20.0
H. Fini Christensen,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",2,1,2,50.0,100.0
H. Muslija,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",1,0,0,0.0,0.0
H. Villadsen,Hobro IK U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",2,1,0,50.0,0.0
I. Figuigui,HB Køge U19,"HB Køge U19 - Næstved U19, 2 - 1",4,2,0,50.0,0.0
I. Sebayaga,Helsingør U19,"Helsingør U19 - Hvidovre U19, 3 - 1",3,3,2,100.0,66.67
J. Bengtsen,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",1,0,0,0.0,0.0
J. Borup,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",2,1,0,50.0,0.0
J. Borup,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",1,1,1,100.0,100.0
J. Bærnholdt Lund,Viborg U19,"Kolding IF U19 - Viborg U19, 0 - 3",1,0,0,0.0,0.0
J. Bærnholdt Lund,Viborg U19,"Viborg U19 - HIK U19, 7 - 1",3,1,1,33.33,33.33
J. Eggertsen,Nykøbing U19,"Nykøbing U19 - Roskilde U19, 1 - 2",1,0,0,0.0,0.0
J. Eggertsen,Nykøbing U19,"Næstved U19 - Nykøbing U19, 0 - 1",7,5,2,71.43,28.57
J. Fagersted,B 93 U19,"Roskilde U19 - B 93 U19, 4 - 3",4,3,0,75.0,0.0
J. Feddersen,Kolding IF U19,"Kolding IF U19 - Viborg U19, 0 - 3",2,1,1,50.0,50.0
J. Frost Hansen,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",3,1,0,33.33,0.0
J. Grønager Frandsen,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",1,1,0,100.0,0.0
J. Grønager Frandsen,Roskilde U19,"Roskilde U19 - B 93 U19, 4 - 3",3,2,0,66.67,0.0
J. Hansen,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",8,3,2,37.5,25.0
J. Hansen,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",8,5,1,62.5,12.5
J. Jepsen,HIK U19,"Viborg U19 - HIK U19, 7 - 1",1,1,0,100.0,0.0
J. Karlsson,Nykøbing U19,"Nykøbing U19 - Roskilde U19, 1 - 2",9,4,1,44.44,11.11
J. Karlsson,Nykøbing U19,"Næstved U19 - Nykøbing U19, 0 - 1",10,4,2,40.0,20.0
J. Malmborg,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",2,2,2,100.0,100.0
J. Malmborg,Roskilde U19,"Roskilde U19 - B 93 U19, 4 - 3",8,5,3,62.5,37.5
J. Mørkedal,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",5,2,2,40.0,40.0
J. Mørkedal,Roskilde U19,"Roskilde U19 - B 93 U19, 4 - 3",5,4,1,80.0,20.0
J. Poulsen,Kolding IF U19,"Kolding IF U19 - Viborg U19, 0 - 3",2,2,1,100.0,50.0
J. Riishøj,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",5,3,1,60.0,20.0
K. Dutz,Hvidovre U19,"Helsingør U19 - Hvidovre U19, 3 - 1",4,2,2,50.0,50.0
K. Gaardsøe,Hobro IK U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",5,3,2,60.0,40.0
K. Møller,Viborg U19,"Kolding IF U19 - Viborg U19, 0 - 3",2,0,0,0.0,0.0
K. Møller,Viborg U19,"Viborg U19 - HIK U19, 7 - 1",1,1,1,100.0,100.0
K. Nielsen,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",4,1,1,25.0,25.0
K. Noppen,B 93 U19,"Roskilde U19 - B 93 U19, 4 - 3",6,5,3,83.33,50.0
L. Achton,HB Køge U19,"HB Køge U19 - Næstved U19, 2 - 1",1,0,0,0.0,0.0
L. From-Bønnelykke,Nykøbing U19,"Nykøbing U19 - Roskilde U19, 1 - 2",5,4,1,80.0,20.0
L. From-Bønnelykke,Nykøbing U19,"Næstved U19 - Nykøbing U19, 0 - 1",3,2,0,66.67,0.0
L. Gronemann,Hvidovre U19,"Helsingør U19 - Hvidovre U19, 3 - 1",6,5,2,83.33,33.33
L. Printzlau,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",2,2,0,100.0,0.0
L. Thaqi,Hobro IK U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",2,1,0,50.0,0.0
M.  Torres-Bjelke,HIK U19,"Viborg U19 - HIK U19, 7 - 1",2,2,1,100.0,50.0
M. Buades,Hvidovre U19,"Helsingør U19 - Hvidovre U19, 3 - 1",2,1,0,50.0,0.0
M. Faerch,Hvidovre U19,"Helsingør U19 - Hvidovre U19, 3 - 1",9,7,3,77.78,33.33
M. Falsing,Hvidovre U19,"Helsingør U19 - Hvidovre U19, 3 - 1",6,3,1,50.0,16.67
M. Frederiksen,Nykøbing U19,"Nykøbing U19 - Roskilde U19, 1 - 2",11,8,4,72.73,36.36
M. Frederiksen,Nykøbing U19,"Næstved U19 - Nykøbing U19, 0 - 1",11,9,1,81.82,9.09
M. Fris Hansen,HB Køge U19,"HB Køge U19 - Næstved U19, 2 - 1",3,2,0,66.67,0.0
M. Genkel,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",2,2,0,100.0,0.0
M. Genkel,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",7,6,3,85.71,42.86
M. Gramkow,HIK U19,"Viborg U19 - HIK U19, 7 - 1",5,3,0,60.0,0.0
M. Hammelboe,Roskilde U19,"Nykøbing U19 - Roskilde U19, 1 - 2",14,11,5,78.57,35.71
M. Hesselholt,HIK U19,"Viborg U19 - HIK U19, 7 - 1",8,4,2,50.0,25.0
M. Høj Vest Hansen,Nykøbing U19,"Næstved U19 - Nykøbing U19, 0 - 1",2,2,1,100.0,50.0
M. Ibsen,Hobro IK U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",5,0,0,0.0,0.0
M. Jensen,SfB-Oure FA U19,"Hobro IK U19 - SfB-Oure FA U19, 6 - 0",8,4,3,50.0,37.5
M. Jensen Bertelsen,Kolding IF U19,"Kolding IF U19 - Viborg U19, 0 - 3",5,3,1,60.0,20.0
M. Kharabi,Helsingør U19,"Helsingør U19 - Hvidovre U19, 3 - 1",1,0,0,0.0,0.0
M. Kjaer,Næstved U19,"HB Køge U19 - Næstved U19, 2 - 1",8,5,2,62.5,25.0
M. Kjaer,Næstved U19,"Næstved U19 - Nykøbing U19, 0 - 1",5,2,1,40.0,20.0
M. Lebrecht,Kolding IF U19,"Kolding IF U19 - Viborg U19, 0 - 3",2,1,0,50.0,0.0
M. Levinsen,Kolding IF U19,"Kolding IF U19 - Viborg U19, 0 - 3",3,2,1,66.67,33.33
M. Løndal,Viborg U19,"Kolding IF U19 - Viborg U19, 0 - 3",3,2,1,66.67,33.33
M. Olsen,Viborg U19,"Kolding IF U19 - Viborg U19, 0 - 3",2,2,0,100.0,0.0
M. Olsen,Viborg U19,"Viborg U19 - HIK U19, 7 - 1",5,2,1,40.0,20.0
M. Pedersen,Roskilde U19,"Roskilde U19 - B 93 U19, 4 - 3",12,7,1,58.33,8.33
M. Rasmussen,Nykøbing U19,"Næstved U19 - Nykøbing U19, 0 - 1",6,2,1,33.33,16.67
