SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
A. Aamann,Sundby,"Vejgaard B - Sundby, 1 - 1",1,0,0,0.0,0.0
A. Al-Hummadi,Hørsholm-Usserød,"Brønshøj - Hørsholm-Usserød, 0 - 2",5,3,1,60.0,20.0
A. Al-Hummadi,Hørsholm-Usserød,"Hørsholm-Usserød - FA 2000, 5 - 1",4,2,2,50.0,50.0
A. Al-Hummadi,Hørsholm-Usserød,"Hørsholm-Usserød - Nykøbing, 0 - 2",4,1,1,25.0,25.0
A. Amhamdi,Vanløse,"Vanløse - FA 2000, 4 - 0",2,1,1,50.0,50.0
A. Amhamdi,Vanløse,"Vanløse - Nykøbing, 2 - 2",1,0,0,0.0,0.0
A. Barlach,Vanløse,"Næsby - Vanløse, 1 - 0",7,6,1,85.71,14.29
A. Barlach,Vanløse,"Vanløse - FA 2000, 4 - 0",4,3,0,75.0,0.0
A. Barlach,Vanløse,"Vanløse - Nykøbing, 2 - 2",6,3,0,50.0,0.0
A. Bergholdt,Brønshøj,"Brønshøj - Hørsholm-Usserød, 0 - 2",4,2,0,50.0,0.0
A. Bergholdt,Brønshøj,"Holbæk B&I - Brønshøj, 5 - 3",3,1,1,33.33,33.33
A. Hansen,Holbæk B&I,"Holbæk B&I - Brønshøj, 5 - 3",20,12,5,60.0,25.0
A. Hansen,Holbæk B&I,"Holbæk B&I - Lyseng, 6 - 0",3,3,2,100.0,66.67
A. Hansen,Holbæk B&I,"Nykøbing - Holbæk B&I, 1 - 0",2,1,0,50.0,0.0
A. Hansen,Holbæk B&I,"Sundby - Holbæk B&I, 2 - 0",2,0,0,0.0,0.0
A. Hassan,Holbæk B&I,"Holbæk B&I - Brønshøj, 5 - 3",3,1,0,33.33,0.0
A. Hassan,Holbæk B&I,"Holbæk B&I - Lyseng, 6 - 0",2,1,1,50.0,50.0
A. Hassan,Holbæk B&I,"Nykøbing - Holbæk B&I, 1 - 0",2,0,0,0.0,0.0
A. Hemmingsen,Frem,"Frem - Næsby, 1 - 2",6,4,0,66.67,0.0
A. Hemmingsen,Frem,"Odder - Frem, 0 - 1",4,2,0,50.0,0.0
A. Hvid,Hørsholm-Usserød,"Brønshøj - Hørsholm-Usserød, 0 - 2",5,2,0,40.0,0.0
A. Hvid,Hørsholm-Usserød,"Hørsholm-Usserød - FA 2000, 5 - 1",2,1,0,50.0,0.0
A. Katun Ibrahim,Lyseng,"Holbæk B&I - Lyseng, 6 - 0",6,5,3,83.33,50.0
A. Katun Ibrahim,Lyseng,"Lyseng - Vanløse, 1 - 2",9,8,3,88.89,33.33
A. Katun Ibrahim,Lyseng,"Odder - Lyseng, 2 - 0",11,5,4,45.45,36.36
A. Kieffer,Hørsholm-Usserød,"Hørsholm-Usserød - Nykøbing, 0 - 2",1,1,0,100.0,0.0
A. Knaack,Holbæk B&I,"Holbæk B&I - Brønshøj, 5 - 3",1,1,0,100.0,0.0
A. Knaack,Holbæk B&I,"Holbæk B&I - Lyseng, 6 - 0",7,4,0,57.14,0.0
A. Knaack,Holbæk B&I,"Nykøbing - Holbæk B&I, 1 - 0",1,0,0,0.0,0.0
A. Knaack,Holbæk B&I,"Sundby - Holbæk B&I, 2 - 0",1,0,0,0.0,0.0
A. Kotanga Muloko,Lyseng,"Holbæk B&I - Lyseng, 6 - 0",3,2,1,66.67,33.33
A. Kotanga Muloko,Lyseng,"Odder - Lyseng, 2 - 0",2,1,0,50.0,0.0
A. Laursen,Odder,"Odder - Frem, 0 - 1",6,3,0,50.0,0.0
A. Laursen,Odder,"Odder - Lyseng, 2 - 0",4,1,0,25.0,0.0
A. Laursen,Odder,"Sundby - Odder, 3 - 0",1,1,0,100.0,0.0
A. Lykke,Odder,"Odder - Frem, 0 - 1",2,0,0,0.0,0.0
A. Lykke,Odder,"Odder - Lyseng, 2 - 0",3,2,0,66.67,0.0
A. Lykke,Odder,"Odder - Næsby, 2 - 3",4,2,2,50.0,50.0
A. Lykke,Odder,"Sundby - Odder, 3 - 0",2,1,0,50.0,0.0
A. Molberg,Næsby,"Frem - Næsby, 1 - 2",2,2,1,100.0,50.0
A. Molberg,Næsby,"Næsby - Vanløse, 1 - 0",6,5,1,83.33,16.67
A. Molberg,Næsby,"Odder - Næsby, 2 - 3",7,2,1,28.57,14.29
A. Nybro,Odder,"Odder - Lyseng, 2 - 0",2,1,0,50.0,0.0
A. Nybro,Odder,"Sundby - Odder, 3 - 0",1,1,1,100.0,100.0
A. Sønderby,Vejgaard B,"Vejgaard B - Brønshøj, 3 - 0",3,2,0,66.67,0.0
A. Østergaard,Holbæk B&I,"Holbæk B&I - Brønshøj, 5 - 3",1,1,0,100.0,0.0
A. Østergaard,Holbæk B&I,"Holbæk B&I - Lyseng, 6 - 0",4,2,0,50.0,0.0
A. Østergaard,Holbæk B&I,"Nykøbing - Holbæk B&I, 1 - 0",1,1,0,100.0,0.0
Abdul Arshad,Brønshøj,"Holbæk B&I - Brønshøj, 5 - 3",7,5,3,71.43,42.86
Abdul Arshad,Brønshøj,"Nykøbing - Brønshøj, 0 - 0",6,2,1,33.33,16.67
