SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
O. Einarsson Morales,Esbjerg U19,"Esbjerg U19 - Midtjylland U19, 1 - 2",2,1,0,50.0,0.0
O. Haugstrup,AGF U19,"AGF U19 - Esbjerg U19, 1 - 2",4,3,2,75.0,50.0
O. Haugstrup,AGF U19,"AGF U19 - Horsens U19, 1 - 2",3,2,1,66.67,33.33
O. Kahr,Randers U19,"Randers U19 - Silkeborg U19, 0 - 2",1,0,0,0.0,0.0
O. Kjøge,Silkeborg U19,"Randers U19 - Silkeborg U19, 0 - 2",1,0,0,0.0,0.0
O. Klang,Nordsjælland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",14,11,2,78.57,14.29
O. Klang,Nordsjælland U19,"Nordsjælland U19 - AaB U19, 1 - 0",7,5,2,71.43,28.57
O. Mandrup,Horsens U19,"AGF U19 - Horsens U19, 1 - 2",3,1,1,33.33,33.33
O. Mandrup,Horsens U19,"København U19 - Horsens U19, 3 - 1",2,1,1,50.0,50.0
O. Ogunniyi,Horsens U19,"AGF U19 - Horsens U19, 1 - 2",7,5,3,71.43,42.86
O. Ogunniyi,Horsens U19,"København U19 - Horsens U19, 3 - 1",7,4,3,57.14,42.86
O. Sandris,Randers U19,"Randers U19 - Silkeborg U19, 0 - 2",1,1,0,100.0,0.0
O. Wettergren,Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",8,5,2,62.5,25.0
O. Wettergren,Brøndby U19,"Silkeborg U19 - Brøndby U19, 3 - 1",6,4,2,66.67,33.33
O. Wørts,Nordsjælland U19,"Midtjylland U19 - Nordsjælland U19, 1 - 2",1,1,0,100.0,0.0
P. Chapipis,Horsens U19,"AGF U19 - Horsens U19, 1 - 2",5,2,1,40.0,20.0
P. Chapipis,Horsens U19,"København U19 - Horsens U19, 3 - 1",3,1,0,33.33,0.0
P. Kristensen,SønderjyskE U19,"OB U19 - Sønderjyske U19, 4 - 2",2,2,1,100.0,50.0
P. Søndergaard,Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",6,2,2,33.33,33.33
P. Søndergaard,Brøndby U19,"Silkeborg U19 - Brøndby U19, 3 - 1",4,1,0,25.0,0.0
R. Flügge,Lyngby U19,"Brøndby U19 - Lyngby U19, 2 - 0",4,2,0,50.0,0.0
R. Helveg,OB U19,"AaB U19 - OB U19, 3 - 3 (P)",2,1,0,50.0,0.0
R. Helveg,OB U19,"OB U19 - Sønderjyske U19, 4 - 2",3,3,1,100.0,33.33
R. Kock Petersen,Vejle U19,"Sønderjyske U19 - Vejle U19, 2 - 3",7,3,2,42.86,28.57
R. Kock Petersen,Vejle U19,"Vejle U19 - København U19, 2 - 2 (P)",6,5,3,83.33,50.0
R. Lynder,Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",2,1,1,50.0,50.0
R. Lynder,Brøndby U19,"Silkeborg U19 - Brøndby U19, 3 - 1",3,1,0,33.33,0.0
R. Rexhepi,Randers U19,"Randers U19 - Silkeborg U19, 0 - 2",6,6,1,100.0,16.67
R. Risnæs,København U19,"København U19 - Horsens U19, 3 - 1",9,2,1,22.22,11.11
R. Zwinge,Esbjerg U19,"AGF U19 - Esbjerg U19, 1 - 2",2,0,0,0.0,0.0
S. Christensen,København U19,"København U19 - Horsens U19, 3 - 1",2,2,0,100.0,0.0
S. Christoffersen,Silkeborg U19,"Randers U19 - Silkeborg U19, 0 - 2",2,0,0,0.0,0.0
S. Christoffersen,Silkeborg U19,"Silkeborg U19 - Brøndby U19, 3 - 1",4,2,2,50.0,50.0
S. Fetterlein,København U19,"København U19 - Horsens U19, 3 - 1",1,0,0,0.0,0.0
S. Fetterlein,København U19,"Vejle U19 - København U19, 2 - 2 (P)",6,5,0,83.33,0.0
S. Larsen,Brøndby U19,"Brøndby U19 - Lyngby U19, 2 - 0",4,4,1,100.0,25.0
S. Larsen,Brøndby U19,"Silkeborg U19 - Brøndby U19, 3 - 1",3,2,1,66.67,33.33
