SEASON_WYID_x,COMPETITION_WYID,EVENT_WYID,MATCH_WYID,MATCHPERIOD,MINUTE,SECOND,PRIMARYTYPE,LOCATIONX,LOCATIONY,TEAM_WYID,PLAYER_WYID,POSSESSION_WYID,POSSESSIONDURATION,POSSESSIONEVENTSNUMBER,POSSESSIONEVENTINDEX,POSSESSIONSTARTLOCATIONX,POSSESSIONSTARTLOCATIONY,POSSESSIONENDLOCATIONX,POSSESSIONENDLOCATIONY,POSSESSIONTEAM_WYID,COMPETITIONNAME,MATCHLABEL,DATE,SEASON_WYID_y,SHORTNAME,SHOTISGOAL,SHOTPOSTSHOTXG,SHOTXG,GROUNDDUELOPPONENT_WYID,GROUNDDUELDUELTYPE,KEPTPOSSESSION,PROGRESSEDWITHBALL,STOPPEDPROGRESS,RECOVEREDPOSSESSION,TAKEON,GROUNDDUELSIDE,GROUNDDUELRELATEDDUEL_WYID,CARRYPROGRESSION,CARRYENDLOCATIONX,CARRYENDLOCATIONY,ACCURATE,ANGLE,HEIGHT,LENGTH,RECIPIENT_WYID,ENDLOCATIONX,ENDLOCATIONY,POSSESSIONTYPE1,POSSESSIONTYPE2,POSSESSIONTYPE3,POSSESSIONTYPE4,POSSESSIONTYPE5,ATTACKXG,SECONDARYTYPE1,SECONDARYTYPE2,SECONDARYTYPE3,SECONDARYTYPE4,SECONDARYTYPE5,SECONDARYTYPE6,SECONDARYTYPE7,SECONDARYTYPE8,SECONDARYTYPE9,SECONDARYTYPE10,TEAMNAME
191711,43319,2651305174,5729084,1H,0,48,shot,94.0,29.0,7526,681200,2651305165.0,7.0680155,5.0,4.0,64.0,31.0,94.0,29.0,7526.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,O. Jakobsen,False,,0.07724,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0772,touch_in_box,,,,,,,,,,Nykøbing
191711,43319,2651306607,5729084,1H,4,5,shot,95.0,46.0,7526,629028,2651305273.0,2.736006,6.0,5.0,100.0,0.0,95.0,46.0,7526.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,V. Mølgaard Eskildsen,False,,0.4148,,,,,,,,,,,,,,,,,,,,corner,set_piece_attack,attack,,,0.4148,opportunity,shot_after_corner,touch_in_box,,,,,,,,Nykøbing
191711,43319,2651304995,5729084,1H,9,36,free_kick,79.0,52.0,7472,577577,2651304995.0,0.4609565,2.0,0.0,79.0,52.0,100.0,50.0,7472.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,Abdul Arshad,False,0.07672,0.1944,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,direct_free_kick,,0.1944,free_kick_shot,opportunity,shot,,,,,,,,Brønshøj
191711,43319,2651305399,5729084,1H,10,10,shot,86.0,36.0,7526,681203,2651305398.0,0.696676,2.0,1.0,86.0,20.0,86.0,36.0,7526.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,R. Berner,False,,0.07371,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0737,opportunity,touch_in_box,,,,,,,,,Nykøbing
191711,43319,2651305487,5729084,1H,15,2,shot,74.0,30.0,7526,603160,2651305474.0,23.413198,9.0,8.0,38.0,13.0,74.0,30.0,7526.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,O. Svendsen,False,,0.01461,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,,,0.0146,,,,,,,,,,,Nykøbing
191711,43319,2651305083,5729084,1H,18,47,shot,88.0,63.0,7472,335713,2651305082.0,0.5999875,2.0,1.0,100.0,100.0,88.0,63.0,7472.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,P. Larsen,False,,0.009857,,,,,,,,,,,,,,,,,,,,corner,set_piece_attack,attack,,,0.0099,shot_after_corner,touch_in_box,,,,,,,,,Brønshøj
191711,43319,2651305744,5729084,1H,32,41,free_kick,73.0,58.0,7526,603160,2651305744.0,0.7729885,2.0,0.0,73.0,58.0,99.0,50.0,7526.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,O. Svendsen,False,0.02052,0.03534,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,direct_free_kick,,0.0353,free_kick_shot,opportunity,shot,,,,,,,,Nykøbing
191711,43319,2651305837,5729084,1H,38,28,shot,73.0,28.0,7526,681200,2651305837.0,0.0,1.0,0.0,73.0,28.0,73.0,28.0,7526.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,O. Jakobsen,False,,0.01462,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0146,shot_after_throw_in,,,,,,,,,,Nykøbing
191711,43319,2651305887,5729084,1H,40,13,shot,88.0,29.0,7526,275936,2651305853.0,41.3626335,20.0,19.0,21.0,89.0,88.0,29.0,7526.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,E. Ogude,False,,0.02781,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0278,opportunity,touch_in_box,,,,,,,,,Nykøbing
191711,43319,2651305988,5729084,1H,43,33,shot,88.0,39.0,7526,681203,2651305985.0,1.223276,5.0,4.0,80.0,40.0,88.0,39.0,7526.0,3. Division,"Nykøbing - Brønshøj, 0 - 0",2025-08-22 19:30:00,191711,R. Berner,False,0.3777,0.1513,,,,,,,,,,,,,,,,,,,,attack,,,,,0.1513,opportunity,shot_after_throw_in,touch_in_box,,,,,,,,Nykøbing
