SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
A. Bøgholm Kristensen,Nordsjælland U17,"Nordsjælland U17 - AaB U17, 2 - 1",1,0,0,0.0,0.0
A. Durmaz,Nordsjælland U17,"Nordsjælland U17 - AaB U17, 2 - 1",10,6,3,60.0,30.0
A. Guðjónsson,Midtjylland U17,"Esbjerg U17 - Midtjylland U17, 0 - 4",2,1,0,50.0,0.0
A. Hadzajlija,AaB U17,"Nordsjælland U17 - AaB U17, 2 - 1",6,2,0,33.33,0.0
A. Heine,Lyngby U17,"Brøndby U17 - Lyngby U17, 2 - 1",5,2,1,40.0,20.0
A. Hvid,Randers U17,"Randers U17 - Silkeborg U17, 3 - 1",6,4,3,66.67,50.0
A. Jochimsen,Horsens U17,"København U17 - Horsens U17, 3 - 0",4,3,1,75.0,25.0
A. Karim,OB U17,"OB U17 - Sønderjyske U17, 4 - 1",5,4,1,80.0,20.0
A. Lykke,Nordsjælland U17,"Nordsjælland U17 - AaB U17, 2 - 1",3,1,1,33.33,33.33
A. Myrwick,Lyngby U17,"Brøndby U17 - Lyngby U17, 2 - 1",1,1,0,100.0,0.0
A. Rasmus,Lyngby U17,"Brøndby U17 - Lyngby U17, 2 - 1",4,4,2,100.0,50.0
A. Riis,Midtjylland U17,"Esbjerg U17 - Midtjylland U17, 0 - 4",5,4,1,80.0,20.0
A. Sandager,AGF U17,"AGF U17 - Horsens U17, 2 - 0",5,4,1,80.0,20.0
A. Schelde,SønderjyskE U17,"OB U17 - Sønderjyske U17, 4 - 1",6,1,0,16.67,0.0
A. Steenberg,AaB U17,"Nordsjælland U17 - AaB U17, 2 - 1",2,2,1,100.0,50.0
A. Termansen,Esbjerg U17,"Esbjerg U17 - Midtjylland U17, 0 - 4",9,4,2,44.44,22.22
A. Wepia Christiansen,Brøndby U17,"Silkeborg U17 - Brøndby U17, 1 - 4",2,2,1,100.0,50.0
B. Bagci,Lyngby U17,"Brøndby U17 - Lyngby U17, 2 - 1",5,3,3,60.0,60.0
B. Damgaard,Randers U17,"Randers U17 - Silkeborg U17, 3 - 1",7,2,1,28.57,14.29
B. Hjort Aagesen,Silkeborg U17,"Randers U17 - Silkeborg U17, 3 - 1",4,1,1,25.0,25.0
B. Hjort Aagesen,Silkeborg U17,"Silkeborg U17 - Brøndby U17, 1 - 4",4,3,1,75.0,25.0
