SEASON_WYID_x,COMPETITION_WYID,EVENT_WYID,MATCH_WYID,MATCHPERIOD,MINUTE,SECOND,PRIMARYTYPE,LOCATIONX,LOCATIONY,TEAM_WYID,PLAYER_WYID,POSSESSION_WYID,POSSESSIONDURATION,POSSESSIONEVENTSNUMBER,POSSESSIONEVENTINDEX,POSSESSIONSTARTLOCATIONX,POSSESSIONSTARTLOCATIONY,POSSESSIONENDLOCATIONX,POSSESSIONENDLOCATIONY,POSSESSIONTEAM_WYID,COMPETITIONNAME,MATCHLABEL,DATE,SEASON_WYID_y,SHORTNAME,SHOTISGOAL,SHOTPOSTSHOTXG,SHOTXG,GROUNDDUELOPPONENT_WYID,GROUNDDUELDUELTYPE,KEPTPOSSESSION,PROGRESSEDWITHBALL,STOPPEDPROGRESS,RECOVEREDPOSSESSION,TAKEON,GROUNDDUELSIDE,GROUNDDUELRELATEDDUEL_WYID,CARRYPROGRESSION,CARRYENDLOCATIONX,CARRYENDLOCATIONY,ACCURATE,ANGLE,HEIGHT,LENGTH,RECIPIENT_WYID,ENDLOCATIONX,ENDLOCATIONY,POSSESSIONTYPE1,POSSESSIONTYPE2,POSSESSIONTYPE3,POSSESSIONTYPE4,POSSESSIONTYPE5,ATTACKXG,SECONDARYTYPE1,SECONDARYTYPE2,SECONDARYTYPE3,SECONDARYTYPE4,SECONDARYTYPE5,SECONDARYTYPE6,SECONDARYTYPE7,SECONDARYTYPE8,SECONDARYTYPE9,SECONDARYTYPE10,TEAMNAME
191801,1305,2644857837,5743756,1H,1,50,shot,85.0,41.0,23727,769277,2644857798.0,59.8151215,29.0,28.0,72.0,44.0,85.0,41.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,O. Klang,False,,0.1443,,,,,,,,,,,,,,,,,,,,attack,,,,,0.1443,opportunity,touch_in_box,,,,,,,,,Nordsjælland U19
191801,1305,2644857834,5743756,1H,6,1,shot,85.0,55.0,23730,701631,2644857809.0,39.418724,12.0,11.0,51.0,35.0,85.0,55.0,23730.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,G. Ejsing,False,,0.1131,,,,,,,,,,,,,,,,,,,,attack,,,,,0.1131,opportunity,touch_in_box,,,,,,,,,AaB U19
191801,1305,2644859646,5743756,1H,12,38,shot,78.0,63.0,23730,769292,2644857952.0,4.9629785,4.0,3.0,55.0,77.0,78.0,63.0,23730.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,V. Vestergaard,False,,0.04574,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0457,,,,,,,,,,,AaB U19
191801,1305,2644858063,5743756,1H,17,9,shot,87.0,49.0,23730,789788,2644858052.0,5.2088665,5.0,4.0,71.0,47.0,87.0,49.0,23730.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,B. Skovgaard,False,0.1502,0.1998,,,,,,,,,,,,,,,,,,,,attack,,,,,0.1998,opportunity,touch_in_box,,,,,,,,,AaB U19
191801,1305,2644858233,5743756,1H,20,11,shot,87.0,67.0,23727,825228,2644858210.0,37.435645,16.0,15.0,25.0,52.0,87.0,67.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,M. Seim-Monsen,False,,0.06159,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0616,opportunity,touch_in_box,,,,,,,,,Nordsjælland U19
191801,1305,2644858269,5743756,1H,21,55,shot,79.0,30.0,23727,766317,2644858259.0,13.8779825,5.0,4.0,57.0,100.0,79.0,30.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,H. Rasmussen,True,0.1086,0.04817,,,,,,,,,,,,,,,,,,,,attack,throw_in,,,,0.0482,goal,opportunity,,,,,,,,,Nordsjælland U19
191801,1305,2644858404,5743756,1H,29,29,shot,84.0,31.0,23727,825228,2644859642.0,20.9423485,11.0,10.0,40.0,86.0,84.0,31.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,M. Seim-Monsen,False,0.1161,0.07963,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0796,opportunity,,,,,,,,,,Nordsjælland U19
191801,1305,2644858574,5743756,1H,40,55,shot,89.0,55.0,23727,825228,2644858565.0,0.6112125,2.0,1.0,78.0,67.0,89.0,55.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,M. Seim-Monsen,False,0.1147,0.2305,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,,,0.2305,opportunity,shot_after_free_kick,touch_in_box,,,,,,,,Nordsjælland U19
191801,1305,2644858660,5743756,1H,44,38,shot,76.0,32.0,23727,769649,2644858645.0,22.94271,16.0,15.0,42.0,100.0,76.0,32.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,M. Tuka,False,0.04795,0.02366,,,,,,,,,,,,,,,,,,,,attack,throw_in,,,,0.0237,opportunity,,,,,,,,,,Nordsjælland U19
191801,1305,2644858490,5743756,1H,45,19,shot,75.0,37.0,23730,738329,2644858476.0,20.4234195,11.0,10.0,15.0,51.0,75.0,37.0,23730.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,C. Tcacenco,False,,0.0399,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0399,opportunity,,,,,,,,,,AaB U19
191801,1305,2644858927,5743756,2H,52,56,shot,78.0,53.0,23727,679254,2644858899.0,38.106071,21.0,20.0,42.0,63.0,78.0,53.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,V. Dalsgaard,False,0.04892,0.0794,,,,,,,,,,,,,,,,,,,,attack,,,,,0.0794,opportunity,,,,,,,,,,Nordsjælland U19
191801,1305,2644859647,5743756,2H,61,8,shot,80.0,29.0,23730,766527,2644858747.0,5.0601515,5.0,4.0,80.0,91.0,80.0,29.0,23730.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,M. Samson,False,,0.03992,,,,,,,,,,,,,,,,,,,,set_piece_attack,attack,free_kick,,,0.0399,opportunity,,,,,,,,,,AaB U19
191801,1305,2644859177,5743756,2H,63,9,shot,91.0,50.0,23727,1211641,2644859168.0,10.66121,6.0,5.0,63.0,73.0,91.0,50.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,K. Moukenga,False,0.6924,0.3673,,,,,,,,,,,,,,,,,,,,attack,,,,,0.3673,opportunity,touch_in_box,,,,,,,,,Nordsjælland U19
191801,1305,2644859199,5743756,2H,63,58,shot,88.0,38.0,23727,825228,2644859186.0,13.796042,7.0,6.0,38.0,23.0,88.0,38.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,M. Seim-Monsen,False,0.4966,0.4379,,,,,,,,,,,,,,,,,,,,attack,,,,,0.4379,opportunity,touch_in_box,,,,,,,,,Nordsjælland U19
191801,1305,2644859265,5743756,2H,67,21,shot,88.0,46.0,23727,766317,2644859237.0,50.9104075,17.0,16.0,45.0,0.0,88.0,46.0,23727.0,U19 Ligaen,"Nordsjælland U19 - AaB U19, 1 - 0",2025-08-16 13:30:00,191801,H. Rasmussen,False,,0.06499,,,,,,,,,,,,,,,,,,,,attack,throw_in,,,,0.065,opportunity,touch_in_box,,,,,,,,,Nordsjælland U19
