SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
A. Andersen,HIK U17,"HIK U17 - AB U17, 1 - 3",2,2,0,100.0,0.0
A. Andersen,HIK U17,"Viborg U17 - HIK U17, 2 - 1",5,2,2,40.0,40.0
A. Andersen Anakin,Nykøbing U17,"Nykøbing U17 - Roskilde U17, 3 - 2",8,5,1,62.5,12.5
A. Andersen Anakin,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",16,10,4,62.5,25.0
A. Borgen,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",2,1,0,50.0,0.0
A. Breum,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",6,4,1,66.67,16.67
A. Butt,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",6,3,1,50.0,16.67
A. Cehic,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",13,9,3,69.23,23.08
A. Dyhr,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",2,2,1,100.0,50.0
A. Groth,HIK U17,"HIK U17 - AB U17, 1 - 3",4,4,1,100.0,25.0
A. Groth,HIK U17,"Viborg U17 - HIK U17, 2 - 1",9,7,2,77.78,22.22
A. Iljazovski,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",1,0,0,0.0,0.0
A. Iljazovski,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",1,0,0,0.0,0.0
A. Jensen,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",7,5,2,71.43,28.57
A. Jhonatan Grymer,Nykøbing U17,"Nykøbing U17 - Roskilde U17, 3 - 2",6,3,2,50.0,33.33
A. Jhonatan Grymer,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",2,2,0,100.0,0.0
A. Johansen,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",7,6,0,85.71,0.0
A. Kjær,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",2,2,0,100.0,0.0
A. Knak,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",1,1,1,100.0,100.0
A. Larsen,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",4,4,2,100.0,50.0
A. Larsen,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",5,4,1,80.0,20.0
A. Lønborg,HIK U17,"HIK U17 - AB U17, 1 - 3",3,2,0,66.67,0.0
A. Møller,HIK U17,"HIK U17 - AB U17, 1 - 3",1,1,0,100.0,0.0
A. Schødt-Pedersen,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",5,1,1,20.0,20.0
A. Stein Borre,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",1,0,0,0.0,0.0
A. Stein Borre,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",3,2,0,66.67,0.0
A. Svarre Gaardhøj,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",3,2,0,66.67,0.0
A. Svarre Gaardhøj,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",5,3,2,60.0,40.0
A. Sølgaard,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",2,1,1,50.0,50.0
A. Sølgaard,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",11,6,2,54.55,18.18
A. Thygesen,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",2,1,1,50.0,50.0
A. Thygesen,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",8,4,1,50.0,12.5
B. Emil,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",5,5,5,100.0,100.0
B. Emil,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",11,8,3,72.73,27.27
B. Farnov Raalund,Nykøbing U17,"Nykøbing U17 - Roskilde U17, 3 - 2",10,6,0,60.0,0.0
B. Farnov Raalund,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",9,5,2,55.56,22.22
B. Gürcan,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",10,5,4,50.0,40.0
B. Jakobsen,HIK U17,"HIK U17 - AB U17, 1 - 3",8,4,1,50.0,12.5
