SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
B. Jakobsen,HIK U17,"Viborg U17 - HIK U17, 2 - 1",6,5,2,83.33,33.33
B. Kristensen,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",6,5,1,83.33,16.67
B. Lyngenbo,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",2,1,1,50.0,50.0
B. Thomsen,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",1,1,0,100.0,0.0
B. Vujinovic,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",6,4,2,66.67,33.33
C. Baagøe Schou,AB U17,"HIK U17 - AB U17, 1 - 3",2,2,0,100.0,0.0
C. Leather,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",3,3,1,100.0,33.33
C. Nordentoft,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",10,7,3,70.0,30.0
C. Vesterborg,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",2,2,1,100.0,50.0
C. Yeboah Rasmussen,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",12,12,4,100.0,33.33
D. Guidoboni,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",8,5,0,62.5,0.0
D. Guidoboni,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",20,10,3,50.0,15.0
D. Hjortflod,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",4,3,1,75.0,25.0
D. Hjortflod,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",9,7,2,77.78,22.22
D. Konrad,AB U17,"HIK U17 - AB U17, 1 - 3",1,1,1,100.0,100.0
D. Kragsfeldt,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",3,1,0,33.33,0.0
D. Malthe,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",7,4,2,57.14,28.57
D. Rahdar,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",3,2,1,66.67,33.33
D. Ros Akdeniz,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",3,2,1,66.67,33.33
E. Dige,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",1,1,1,100.0,100.0
E. Overgaard,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",2,2,1,100.0,50.0
E. Rabah Saeid,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",2,0,0,0.0,0.0
E. Stenbek,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",2,2,1,100.0,50.0
F. Hald,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",12,11,6,91.67,50.0
F. Schneider Madsen,HIK U17,"HIK U17 - AB U17, 1 - 3",1,0,0,0.0,0.0
F. Schneider Madsen,HIK U17,"Viborg U17 - HIK U17, 2 - 1",2,1,0,50.0,0.0
F. Schumann Kristiansen,AB U17,"HIK U17 - AB U17, 1 - 3",7,6,3,85.71,42.86
G. Baranowska,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",5,2,1,40.0,20.0
G. Guido,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",9,6,3,66.67,33.33
G. Larsen,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",13,8,3,61.54,23.08
G. Yacobi,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",2,2,2,100.0,100.0
H. Davidsen,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",7,3,1,42.86,14.29
H. Davidsen,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",1,1,0,100.0,0.0
H. Hlynsson,HIK U17,"HIK U17 - AB U17, 1 - 3",5,2,0,40.0,0.0
H. Hlynsson,HIK U17,"Viborg U17 - HIK U17, 2 - 1",1,0,0,0.0,0.0
H. Villadsen,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",8,4,2,50.0,25.0
I. Baltzer,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",2,1,0,50.0,0.0
J. Christian Hoxer,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",1,0,0,0.0,0.0
J. Friis,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",5,0,0,0.0,0.0
J. Karlsen,Nykøbing U17,"Nykøbing U17 - Roskilde U17, 3 - 2",4,3,0,75.0,0.0
J. Khalil,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",6,4,3,66.67,50.0
J. Kronquist,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",4,1,0,25.0,0.0
J. Mortensen,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",10,7,1,70.0,10.0
J. Mortensen,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",6,4,1,66.67,16.67
J. Okonkwo,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",8,5,1,62.5,12.5
J. Okonkwo,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",3,1,0,33.33,0.0
J. Poland,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",11,9,6,81.82,54.55
J. Rasmussen,AB U17,"HIK U17 - AB U17, 1 - 3",9,6,1,66.67,11.11
J. Sandahl,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",2,1,1,50.0,50.0
J. Sandahl,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",7,3,1,42.86,14.29
J. Yadgar,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",3,2,2,66.67,66.67
J. Østergaard,HIK U17,"HIK U17 - AB U17, 1 - 3",9,3,3,33.33,33.33
J. Østergaard,HIK U17,"Viborg U17 - HIK U17, 2 - 1",6,3,2,50.0,33.33
K. Nguyen,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",2,2,1,100.0,50.0
K. Nguyen,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",7,4,2,57.14,28.57
K. Søndergaard Bach,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",2,0,0,0.0,0.0
L. Andersen,AB U17,"HIK U17 - AB U17, 1 - 3",4,3,2,75.0,50.0
L. Christensen,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",11,9,5,81.82,45.45
L. Christensen,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",11,6,1,54.55,9.09
L. Colberg Kofoed,AB U17,"HIK U17 - AB U17, 1 - 3",10,9,3,90.0,30.0
L. Hansen,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",6,5,2,83.33,33.33
L. Hansen,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",3,3,2,100.0,66.67
L. Kruhøffer,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",5,4,3,80.0,60.0
L. Møller,AB U17,"HIK U17 - AB U17, 1 - 3",10,7,1,70.0,10.0
L. Nielsen,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",8,4,1,50.0,12.5
L. Nielsen,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",15,10,3,66.67,20.0
L. Oliver Bram,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",7,6,2,85.71,28.57
L. Simonsen,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",14,6,4,42.86,28.57
L. Støvring,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",1,1,0,100.0,0.0
L. Østergaard,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",2,1,1,50.0,50.0
L. Østergaard,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",5,1,0,20.0,0.0
M. Berthelsen,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",1,1,0,100.0,0.0
M. Bondehøj,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",2,2,1,100.0,50.0
M. Buhl,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",5,4,2,80.0,40.0
M. Demiral,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",6,3,1,50.0,16.67
M. Demiral,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",9,7,2,77.78,22.22
M. Emil Lassen,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",2,2,0,100.0,0.0
M. Emin Aydar,HIK U17,"Viborg U17 - HIK U17, 2 - 1",2,0,0,0.0,0.0
M. Fallah,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",1,0,0,0.0,0.0
M. Hansen,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",3,2,1,66.67,33.33
M. Høgenhaug,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",3,1,1,33.33,33.33
M. Høgenhaug,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",5,3,2,60.0,40.0
M. Hørup Larsen,HIK U17,"HIK U17 - AB U17, 1 - 3",2,1,0,50.0,0.0
M. Hørup Larsen,HIK U17,"Viborg U17 - HIK U17, 2 - 1",6,5,1,83.33,16.67
M. Jensby,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",4,2,0,50.0,0.0
M. Jensby,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",7,3,2,42.86,28.57
M. Kanafani,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",2,1,0,50.0,0.0
M. Keh Kleist Værslev,AB U17,"HIK U17 - AB U17, 1 - 3",6,4,1,66.67,16.67
M. Kristensen,HIK U17,"HIK U17 - AB U17, 1 - 3",5,4,1,80.0,20.0
M. Kristensen,HIK U17,"Viborg U17 - HIK U17, 2 - 1",3,1,0,33.33,0.0
M. Lebrecht,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",14,12,5,85.71,35.71
M. Lillevang Andersen,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",3,3,1,100.0,33.33
M. Møller Andersen,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",3,3,0,100.0,0.0
M. Neergaard,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",5,4,1,80.0,20.0
M. Neergaard,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",1,1,0,100.0,0.0
M. Niss Johannsen,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",5,3,0,60.0,0.0
M. Petersen,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",2,1,0,50.0,0.0
M. Schow,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",1,1,0,100.0,0.0
M. Stouby Hansen,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",4,2,1,50.0,25.0
M. Søgaard,Nykøbing U17,"Nykøbing U17 - Roskilde U17, 3 - 2",4,2,1,50.0,25.0
M. Søgaard,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",3,2,3,66.67,100.0
M. Thylkjær Pedersen,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",6,6,1,100.0,16.67
M. Thylkjær Pedersen,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",6,2,0,33.33,0.0
M. Warming Hamann,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",10,6,1,60.0,10.0
M. Yeung,HIK U17,"Viborg U17 - HIK U17, 2 - 1",1,0,0,0.0,0.0
N. Aagaard,HIK U17,"Viborg U17 - HIK U17, 2 - 1",10,9,7,90.0,70.0
N. Ahrenkiel,AB U17,"HIK U17 - AB U17, 1 - 3",1,0,0,0.0,0.0
N. Hansen,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",7,4,2,57.14,28.57
N. Heisel White,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",2,2,1,100.0,50.0
N. Heisel White,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",9,8,3,88.89,33.33
N. Lindholm,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",3,2,0,66.67,0.0
N. Meyer Jahnsen,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",1,0,0,0.0,0.0
N. Mortensen,Nykøbing U17,"Nykøbing U17 - Roskilde U17, 3 - 2",8,6,3,75.0,37.5
N. Mortensen,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",4,3,1,75.0,25.0
N. Nielsen,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",5,2,0,40.0,0.0
N. Offer,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",1,1,0,100.0,0.0
N. Oscar Holm,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",4,3,1,75.0,25.0
N. Oscar Holm,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",4,2,0,50.0,0.0
N. Persson,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",2,1,1,50.0,50.0
N. Rosenkrantz,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",2,1,0,50.0,0.0
N. Saidi,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",2,1,0,50.0,0.0
N. Sterring,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",4,1,0,25.0,0.0
N. Sterring,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",2,2,0,100.0,0.0
O. Arbøl Andreæ,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",6,5,3,83.33,50.0
O. Arbøl Andreæ,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",4,1,0,25.0,0.0
O. Jacobsen,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",5,3,0,60.0,0.0
O. Morkebaek Christensen,Nykøbing U17,"Nykøbing U17 - Roskilde U17, 3 - 2",5,4,2,80.0,40.0
O. Morkebaek Christensen,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",5,3,1,60.0,20.0
O. Sari,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",11,5,0,45.45,0.0
O. Sari,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",2,2,2,100.0,100.0
O. Schaadt Hansen,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",5,4,3,80.0,60.0
O. Schaadt Hansen,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",11,7,2,63.64,18.18
O. Stahlhut,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",3,3,1,100.0,33.33
P. Gusak,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",5,2,2,40.0,40.0
P. Gusak,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",5,3,2,60.0,40.0
R. Bonde,B.93 U17,"B.93 U17 - Helsingør U17, 5 - 0",5,3,3,60.0,60.0
R. Bonde,B.93 U17,"Roskilde U17 - B.93 U17, 1 - 4",4,1,0,25.0,0.0
R. Olsen,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",2,1,1,50.0,50.0
R. Piper,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",5,4,1,80.0,20.0
S. Aaboe,HIK U17,"Viborg U17 - HIK U17, 2 - 1",9,6,4,66.67,44.44
S. Aras,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",7,4,0,57.14,0.0
S. Bentsen,AB U17,"HIK U17 - AB U17, 1 - 3",1,1,0,100.0,0.0
S. Gottlieb Jensen,AB U17,"HIK U17 - AB U17, 1 - 3",2,0,0,0.0,0.0
S. Gurja,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",13,5,1,38.46,7.69
S. Iversen,AB U17,"HIK U17 - AB U17, 1 - 3",2,1,0,50.0,0.0
S. Jensen,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",2,2,0,100.0,0.0
S. King Thuese,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",3,0,0,0.0,0.0
T. Hannemann,Nykøbing U17,"Nykøbing U17 - Roskilde U17, 3 - 2",3,1,1,33.33,33.33
T. Hannemann,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",4,2,1,50.0,25.0
T. Hentze,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",2,2,1,100.0,50.0
T. Hentze,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",1,0,0,0.0,0.0
T. Hermansen,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",4,3,1,75.0,25.0
T. Kolath-Møbjerg,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",6,1,0,16.67,0.0
T. Kristensen,HIK U17,"HIK U17 - AB U17, 1 - 3",1,1,0,100.0,0.0
T. Kristensen,HIK U17,"Viborg U17 - HIK U17, 2 - 1",5,1,0,20.0,0.0
T. Langballe,Nykøbing U17,"Nykøbing U17 - Roskilde U17, 3 - 2",6,2,1,33.33,16.67
T. Langballe,Nykøbing U17,"Næstved U17 - Nykøbing U17, 2 - 1",1,1,1,100.0,100.0
T. Poupinel,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",4,3,1,75.0,25.0
T. Rasmussen,Amager Academy U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",2,1,0,50.0,0.0
T. Wise,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",10,6,1,60.0,10.0
V. Bjørnsen,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",3,2,0,66.67,0.0
V. Brix,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",3,0,0,0.0,0.0
V. Carl Hesselbjerg Monrad,HIK U17,"HIK U17 - AB U17, 1 - 3",5,2,2,40.0,40.0
V. Dinesen Schack,Kolding IF U17,"Kolding IF U17 - Viborg U17, 0 - 2",8,7,2,87.5,25.0
V. Drejer,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",14,9,3,64.29,21.43
V. Gyrup Stokbro,AB U17,"HIK U17 - AB U17, 1 - 3",2,2,1,100.0,50.0
V. Holst,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",6,5,4,83.33,66.67
V. Ilkjaer Hummelgaard,HIK U17,"HIK U17 - AB U17, 1 - 3",7,4,0,57.14,0.0
V. Ilkjaer Hummelgaard,HIK U17,"Viborg U17 - HIK U17, 2 - 1",10,7,0,70.0,0.0
V. Karlstad,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",4,4,4,100.0,100.0
V. Kragh Pedersen,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",4,3,0,75.0,0.0
V. Kragh Pedersen,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",2,0,0,0.0,0.0
V. Nedergaard,Næstved U17,"Næstved U17 - Nykøbing U17, 2 - 1",11,6,3,54.55,27.27
V. Radchenko,Hobro IK U17,"Amager Academy U17 - Hobro IK U17, 3 - 4",4,3,0,75.0,0.0
V. Rønne,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",2,1,0,50.0,0.0
V. Rønne,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",3,3,1,100.0,33.33
W. Bech Brink Rosenbrandt,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",9,5,3,55.56,33.33
W. Bechmann,Roskilde U17,"Nykøbing U17 - Roskilde U17, 3 - 2",3,2,1,66.67,33.33
W. Bechmann,Roskilde U17,"Roskilde U17 - B.93 U17, 1 - 4",8,4,2,50.0,25.0
W. Capaldi,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",1,1,1,100.0,100.0
W. Prang Kaas,HIK U17,"Viborg U17 - HIK U17, 2 - 1",9,8,4,88.89,44.44
Y. Molou,Helsingør U17,"B.93 U17 - Helsingør U17, 5 - 0",10,7,4,70.0,40.0
Z. Ornum,Viborg U17,"Kolding IF U17 - Viborg U17, 0 - 2",4,3,2,75.0,50.0
Z. Ornum,Viborg U17,"Viborg U17 - HIK U17, 2 - 1",3,3,0,100.0,0.0
