SHORTNAME,TEAMNAME,MATCHLABEL,total_duels,stoppedprogress_count,recoveredpossession_count,stoppedprogress_percent,recoveredpossession_percent
A. Faester,VSK Århus,"Roskilde - VSK Århus, 5 - 0",1,0,0,0.0,0.0
A. Faester,VSK Århus,"VSK Århus - Brabrand, 2 - 1",1,1,0,100.0,0.0
A. Garly,HIK,"HIK - Næstved, 2 - 1",7,4,4,57.14,57.14
A. Garly,HIK,"Helsingør - HIK, 1 - 2",4,2,0,50.0,0.0
A. Garly,HIK,"Vendsyssel - HIK, 1 - 0",5,2,2,40.0,40.0
A. Halsgaard,Næstved,"HIK - Næstved, 2 - 1",6,3,2,50.0,33.33
A. Halsgaard,Næstved,"Næstved - Fremad Amager, 1 - 0",1,1,1,100.0,100.0
A. Horup,AB,"Brabrand - AB, 1 - 2",3,3,0,100.0,0.0
A. Høyer,Thisted,"Thisted - VSK Århus, 2 - 2",1,1,0,100.0,0.0
A. Johansen,Fremad Amager,"Næstved - Fremad Amager, 1 - 0",4,1,0,25.0,0.0
A. Johansen,Fremad Amager,"Skive - Fremad Amager, 0 - 0",4,4,2,100.0,50.0
A. Khalil,Brabrand,"Brabrand - AB, 1 - 2",5,2,0,40.0,0.0
A. Khalil,Brabrand,"VSK Århus - Brabrand, 2 - 1",1,0,0,0.0,0.0
A. Koudelka,AB,"AB - Helsingør, 1 - 2",5,3,1,60.0,20.0
A. Koudelka,AB,"Brabrand - AB, 1 - 2",3,2,1,66.67,33.33
A. Kristiansen,Vendsyssel,"Vendsyssel - HIK, 1 - 0",5,4,1,80.0,20.0
A. Kristiansen,Vendsyssel,"Vendsyssel - Skive, 2 - 0",5,2,1,40.0,20.0
A. Larsen,Brabrand,"Brabrand - AB, 1 - 2",2,1,0,50.0,0.0
A. Oseni,HIK,"HIK - Næstved, 2 - 1",6,2,0,33.33,0.0
A. Oseni,HIK,"Helsingør - HIK, 1 - 2",2,0,0,0.0,0.0
A. Oseni,HIK,"Vendsyssel - HIK, 1 - 0",11,6,2,54.55,18.18
A. Owusu,Vendsyssel,"Roskilde - Vendsyssel, 2 - 0",4,2,2,50.0,50.0
A. Owusu,Vendsyssel,"Vendsyssel - Skive, 2 - 0",5,3,2,60.0,40.0
A. Petræus,Fremad Amager,"Fremad Amager - Ishøj, 1 - 1",4,1,0,25.0,0.0
